,drug,cell_line,IC50
0,5-Fluorouracil,HL60,2.558926
1,5-azacytidine,HL60,0.917132
2,A-366,HL60,4.83616
3,ABT737,HL60,-2.817798
4,AGI-5198,HL60,3.644734
5,AGI-6780,HL60,3.037778
6,AGK2,HL60,2.904736
7,AMG-319,HL60,3.808546
8,AT13148,HL60,3.379137
9,AZ6102,HL60,2.479558
10,AZ960,HL60,0.054884
11,AZD1208,HL60,4.885844
12,AZD1332,HL60,4.895281
13,AZD2014,HL60,3.617651
14,AZD3759,HL60,2.156169
15,AZD4547,HL60,3.137978
16,AZD5153,HL60,-0.760805
17,AZD5363,HL60,1.933375
18,AZD5438,HL60,1.929562
19,AZD5582,HL60,1.523764
20,AZD5991,HL60,-2.292906
21,AZD6738,HL60,2.042793
22,AZD7762,HL60,0.296543
23,AZD8055,HL60,1.456973
24,AZD8186,HL60,1.816854
25,Acetalax,HL60,5.255601
26,Afatinib,HL60,1.518567
27,Afuresertib,HL60,3.057738
28,Alisertib,HL60,-1.114913
29,Alpelisib,HL60,2.21634
30,Avagacestat,HL60,3.321006
31,Axitinib,HL60,1.346913
32,BI-2536,HL60,-3.860741
33,BIBR-1532,HL60,3.967546
34,BMS-345541,HL60,4.133874
35,BMS-536924,HL60,-0.15958
36,BMS-754807,HL60,-0.497059
37,Bleomycin,HL60,2.846334
38,Bleomycin (50 uM),HL60,3.346662
39,Bortezomib,HL60,-5.511162
40,Bosutinib,HL60,1.746057
41,Bromosporine,HL60,0.197511
42,Buparlisib,HL60,0.361896
43,CCT007093,HL60,4.802852
44,CPI-637,HL60,3.339946
45,CZC24832,HL60,4.656184
46,Camptothecin,HL60,-4.472606
47,Carmustine,HL60,5.767251
48,Cediranib,HL60,1.939612
49,Cisplatin,HL60,1.387772
50,Crizotinib,HL60,2.02268
51,Cyclophosphamide,HL60,2.452611
52,Cytarabine,HL60,0.250847
53,Dabrafenib,HL60,4.896857
54,Dacarbazine,HL60,5.007591
55,Dactinomycin,HL60,-3.828022
56,Dactolisib,HL60,-1.099591
57,Dasatinib,HL60,2.184483
58,Dihydrorotenone,HL60,-3.980924
59,Dinaciclib,HL60,-3.863254
60,Docetaxel,HL60,-5.308438
61,Doramapimod,HL60,4.815009
62,EHT-1864,HL60,2.148829
63,EPZ004777,HL60,4.743614
64,EPZ5676,HL60,4.468414
65,Elephantin,HL60,2.441787
66,Entinostat,HL60,0.657198
67,Entospletinib,HL60,4.430713
68,Epirubicin,HL60,-2.725109
69,Erlotinib,HL60,3.516011
70,Fludarabine,HL60,1.615393
71,Foretinib,HL60,0.507843
72,Fulvestrant,HL60,3.329908
73,GDC0810,HL60,1.950125
74,GNE-317,HL60,-0.282199
75,GSK-LSD1,HL60,0.670554
76,GSK1904529A,HL60,4.988584
77,GSK2110183B,HL60,3.692014
78,GSK2578215A,HL60,2.065239
79,GSK2606414,HL60,2.656222
80,GSK2801,HL60,4.181437
81,GSK2830371,HL60,3.332171
82,GSK343,HL60,2.845398
83,GSK591,HL60,4.336599
84,GW441756,HL60,2.912734
85,Gallibiscoquinazole,HL60,1.713327
86,Gefitinib,HL60,3.269647
87,Gemcitabine,HL60,-3.005111
88,I-BET-762,HL60,0.75756
89,I-BRD9,HL60,2.824221
90,ICL-SIRT078,HL60,3.229446
91,IWP-2,HL60,1.86372
92,Ibrutinib,HL60,3.251737
93,Ipatasertib,HL60,2.421669
94,Irinotecan,HL60,0.505657
95,JNK Inhibitor VIII,HL60,4.787407
96,JQ1,HL60,-1.774252
97,KRAS (G12C) Inhibitor-12,HL60,5.559532
98,KU-55933,HL60,4.233836
99,L-Oxonoreleagnine,HL60,3.071544
100,LCL161,HL60,3.909526
101,LGK974,HL60,2.274807
102,LJI308,HL60,4.338849
103,LMP744,HL60,-1.699738
104,LY2109761,HL60,4.893069
105,Lapatinib,HL60,3.124205
106,Leflunomide,HL60,4.850157
107,Lenalidomide,HL60,3.177559
108,Lestaurtinib,HL60,-1.224208
109,Linsitinib,HL60,2.296419
110,Luminespib,HL60,-3.321522
111,MG-132,HL60,-1.14181
112,MIM1,HL60,4.384764
113,MIRA-1,HL60,4.251009
114,MK-1775,HL60,0.537033
115,MK-2206,HL60,3.567611
116,MK-8776,HL60,3.474365
117,ML323,HL60,3.795059
118,MN-64,HL60,2.037886
119,Methotrexate,HL60,-3.429267
