,drug,cell_line,IC50
0,5-Fluorouracil,22RV1,2.319585
1,5-azacytidine,22RV1,3.192165
2,A-366,22RV1,4.685324
3,ABT737,22RV1,3.98776
4,AGI-5198,22RV1,6.255464
5,AGI-6780,22RV1,4.194722
6,AMG-319,22RV1,6.450931
7,AT13148,22RV1,2.529538
8,AZ6102,22RV1,2.9276
9,AZ960,22RV1,3.969719
10,AZD1208,22RV1,5.007299
11,AZD3759,22RV1,3.408729
12,AZD4547,22RV1,3.618655
13,AZD5153,22RV1,0.758838
14,AZD5363,22RV1,2.654513
15,AZD5438,22RV1,3.426016
16,AZD5582,22RV1,2.402949
17,AZD6738,22RV1,3.384121
18,AZD7762,22RV1,2.042511
19,AZD8055,22RV1,-1.458397
20,AZD8186,22RV1,3.749366
21,Afatinib,22RV1,2.316328
22,Afuresertib,22RV1,1.553442
23,Alisertib,22RV1,3.292027
24,Alpelisib,22RV1,2.207962
25,Avagacestat,22RV1,5.06275
26,Axitinib,22RV1,4.474203
27,BI-2536,22RV1,-1.501355
28,BIBR-1532,22RV1,6.360602
29,BMS-345541,22RV1,2.47004
30,BMS-536924,22RV1,2.862935
31,BMS-754807,22RV1,2.273743
32,Bleomycin,22RV1,4.031109
33,Bleomycin (50 uM),22RV1,3.97792
34,Bosutinib,22RV1,3.913924
35,Bromosporine,22RV1,2.842678
36,Buparlisib,22RV1,0.648494
37,CCT007093,22RV1,5.941977
38,CPI-637,22RV1,4.905957
39,CZC24832,22RV1,4.677051
40,Camptothecin,22RV1,-2.90246
41,Carmustine,22RV1,6.148346
42,Cediranib,22RV1,2.109625
43,Cisplatin,22RV1,3.372862
44,Crizotinib,22RV1,2.502973
45,Cyclophosphamide,22RV1,6.209993
46,Cytarabine,22RV1,4.189364
47,Dabrafenib,22RV1,6.439239
48,Dacarbazine,22RV1,6.889218
49,Dactinomycin,22RV1,-4.840963
50,Dactolisib,22RV1,-2.793766
51,Daporinad,22RV1,-3.112784
52,Dasatinib,22RV1,4.203067
53,Dihydrorotenone,22RV1,1.840438
