,drug,cell_line,IC50
0,5-Fluorouracil,22RV1,2.319585
1,A-366,22RV1,4.685324
2,ABT737,22RV1,3.98776
3,AGI-5198,22RV1,6.255464
4,AGK2,22RV1,3.839616
5,AMG-319,22RV1,6.450931
6,AZ6102,22RV1,2.9276
7,AZ960,22RV1,3.969719
8,AZD1208,22RV1,5.007299
9,AZD1332,22RV1,3.424256
10,AZD2014,22RV1,-0.554046
11,AZD3759,22RV1,3.408729
12,AZD4547,22RV1,3.618655
13,AZD5153,22RV1,0.758838
14,AZD5363,22RV1,2.654513
15,AZD5438,22RV1,3.426016
16,AZD5582,22RV1,2.402949
17,AZD5991,22RV1,3.873425
18,AZD6738,22RV1,3.384121
19,AZD7762,22RV1,2.042511
20,AZD8055,22RV1,-1.458397
21,AZD8186,22RV1,3.749366
22,Acetalax,22RV1,-0.236071
23,Afatinib,22RV1,2.316328
24,Afuresertib,22RV1,1.553442
25,Alisertib,22RV1,3.292027
26,Alpelisib,22RV1,2.207962
27,Avagacestat,22RV1,5.06275
28,Axitinib,22RV1,4.474203
29,BIBR-1532,22RV1,6.360602
30,BMS-345541,22RV1,2.47004
31,BMS-536924,22RV1,2.862935
32,BMS-754807,22RV1,2.273743
33,Bleomycin,22RV1,4.031109
34,Bleomycin (50 uM),22RV1,3.97792
35,Bortezomib,22RV1,-4.6224
36,Bosutinib,22RV1,3.913924
37,Bromosporine,22RV1,2.842678
38,CCT007093,22RV1,5.941977
39,CPI-637,22RV1,4.905957
40,CZC24832,22RV1,4.677051
41,Camptothecin,22RV1,-2.90246
42,Carmustine,22RV1,6.148346
43,Cediranib,22RV1,2.109625
44,Cisplatin,22RV1,3.372862
45,Crizotinib,22RV1,2.502973
46,Cyclophosphamide,22RV1,6.209993
47,Cytarabine,22RV1,4.189364
48,Dabrafenib,22RV1,6.439239
49,Dactinomycin,22RV1,-4.840963
50,Dactolisib,22RV1,-2.793766
51,Daporinad,22RV1,-3.112784
52,Dasatinib,22RV1,4.203067
53,Dihydrorotenone,22RV1,1.840438
54,Dinaciclib,22RV1,-2.715792
55,Docetaxel,22RV1,-2.839407
56,Doramapimod,22RV1,6.475129
57,EHT-1864,22RV1,4.235458
58,EPZ004777,22RV1,6.336956
59,EPZ5676,22RV1,6.343132
60,Elephantin,22RV1,3.359992
61,Entinostat,22RV1,1.987387
62,Entospletinib,22RV1,5.335641
63,Fludarabine,22RV1,6.364086
64,Foretinib,22RV1,2.452178
65,Fulvestrant,22RV1,4.580928
