,drug,cell_line,IC50
0,5-Fluorouracil,22RV1,2.319585
1,5-azacytidine,22RV1,3.192165
2,A-366,22RV1,4.685324
3,ABT737,22RV1,3.98776
4,AGI-5198,22RV1,6.255464
5,AGI-6780,22RV1,4.194722
6,AGK2,22RV1,3.839616
7,AMG-319,22RV1,6.450931
8,AT13148,22RV1,2.529538
9,AZ6102,22RV1,2.9276
10,AZ960,22RV1,3.969719
11,AZD1208,22RV1,5.007299
12,AZD1332,22RV1,3.424256
13,AZD2014,22RV1,-0.554046
14,AZD3759,22RV1,3.408729
15,AZD4547,22RV1,3.618655
16,AZD5153,22RV1,0.758838
17,AZD5363,22RV1,2.654513
18,AZD5438,22RV1,3.426016
19,AZD5582,22RV1,2.402949
20,AZD5991,22RV1,3.873425
21,AZD6738,22RV1,3.384121
22,AZD7762,22RV1,2.042511
23,AZD8055,22RV1,-1.458397
24,AZD8186,22RV1,3.749366
25,Acetalax,22RV1,-0.236071
26,Afatinib,22RV1,2.316328
27,Afuresertib,22RV1,1.553442
28,Alisertib,22RV1,3.292027
29,Alpelisib,22RV1,2.207962
30,Axitinib,22RV1,4.474203
31,BI-2536,22RV1,-1.501355
32,BMS-345541,22RV1,2.47004
33,BMS-754807,22RV1,2.273743
34,Bleomycin,22RV1,4.031109
35,Bleomycin (50 uM),22RV1,3.97792
36,Bortezomib,22RV1,-4.6224
37,Bromosporine,22RV1,2.842678
38,Buparlisib,22RV1,0.648494
39,CCT007093,22RV1,5.941977
40,CPI-637,22RV1,4.905957
41,CZC24832,22RV1,4.677051
42,Carmustine,22RV1,6.148346
43,Cediranib,22RV1,2.109625
44,Cisplatin,22RV1,3.372862
45,Crizotinib,22RV1,2.502973
46,Cyclophosphamide,22RV1,6.209993
47,Cytarabine,22RV1,4.189364
48,Dacarbazine,22RV1,6.889218
49,Dactinomycin,22RV1,-4.840963
50,Dactolisib,22RV1,-2.793766
51,Daporinad,22RV1,-3.112784
52,Dasatinib,22RV1,4.203067
53,Dihydrorotenone,22RV1,1.840438
