,drug,cell_line,IC50
0,5-Fluorouracil,22RV1,2.319585
1,5-azacytidine,22RV1,3.192165
2,A-366,22RV1,4.685324
3,AGI-5198,22RV1,6.255464
4,AGI-6780,22RV1,4.194722
5,AGK2,22RV1,3.839616
6,AMG-319,22RV1,6.450931
7,AT13148,22RV1,2.529538
8,AZ6102,22RV1,2.9276
9,AZ960,22RV1,3.969719
10,AZD1208,22RV1,5.007299
11,AZD1332,22RV1,3.424256
12,AZD2014,22RV1,-0.554046
13,AZD3759,22RV1,3.408729
14,AZD4547,22RV1,3.618655
15,AZD5153,22RV1,0.758838
16,AZD5363,22RV1,2.654513
17,AZD5991,22RV1,3.873425
18,AZD7762,22RV1,2.042511
19,AZD8055,22RV1,-1.458397
20,AZD8186,22RV1,3.749366
21,Acetalax,22RV1,-0.236071
22,Afatinib,22RV1,2.316328
23,Afuresertib,22RV1,1.553442
24,Alisertib,22RV1,3.292027
25,Avagacestat,22RV1,5.06275
26,Axitinib,22RV1,4.474203
27,BI-2536,22RV1,-1.501355
28,BIBR-1532,22RV1,6.360602
29,BMS-345541,22RV1,2.47004
30,BMS-536924,22RV1,2.862935
31,BMS-754807,22RV1,2.273743
32,Bleomycin,22RV1,4.031109
33,Bleomycin (50 uM),22RV1,3.97792
34,Bortezomib,22RV1,-4.6224
35,Bosutinib,22RV1,3.913924
36,Bromosporine,22RV1,2.842678
37,Buparlisib,22RV1,0.648494
38,CCT007093,22RV1,5.941977
39,CPI-637,22RV1,4.905957
40,CZC24832,22RV1,4.677051
41,Camptothecin,22RV1,-2.90246
42,Carmustine,22RV1,6.148346
43,Cediranib,22RV1,2.109625
44,Cisplatin,22RV1,3.372862
45,Crizotinib,22RV1,2.502973
46,Cyclophosphamide,22RV1,6.209993
47,Cytarabine,22RV1,4.189364
48,Dabrafenib,22RV1,6.439239
49,Dacarbazine,22RV1,6.889218
50,Dactinomycin,22RV1,-4.840963
51,Dactolisib,22RV1,-2.793766
52,Daporinad,22RV1,-3.112784
53,Dasatinib,22RV1,4.203067
