,drug,cell_line,IC50
0,5-Fluorouracil,22RV1,2.319585
1,5-azacytidine,22RV1,3.192165
2,A-366,22RV1,4.685324
3,ABT737,22RV1,3.98776
4,AGI-5198,22RV1,6.255464
5,AGI-6780,22RV1,4.194722
6,AGK2,22RV1,3.839616
7,AMG-319,22RV1,6.450931
8,AT13148,22RV1,2.529538
9,AZ960,22RV1,3.969719
10,AZD1208,22RV1,5.007299
11,AZD1332,22RV1,3.424256
12,AZD2014,22RV1,-0.554046
13,AZD3759,22RV1,3.408729
14,AZD5153,22RV1,0.758838
15,AZD5363,22RV1,2.654513
16,AZD5582,22RV1,2.402949
17,AZD5991,22RV1,3.873425
18,AZD6738,22RV1,3.384121
19,AZD7762,22RV1,2.042511
20,AZD8055,22RV1,-1.458397
21,AZD8186,22RV1,3.749366
22,Acetalax,22RV1,-0.236071
23,Afatinib,22RV1,2.316328
24,Afuresertib,22RV1,1.553442
25,Alisertib,22RV1,3.292027
26,Alpelisib,22RV1,2.207962
27,Axitinib,22RV1,4.474203
28,BI-2536,22RV1,-1.501355
29,BIBR-1532,22RV1,6.360602
30,BMS-345541,22RV1,2.47004
31,BMS-536924,22RV1,2.862935
32,BMS-754807,22RV1,2.273743
33,Bleomycin,22RV1,4.031109
34,Bleomycin (50 uM),22RV1,3.97792
35,Bortezomib,22RV1,-4.6224
36,Bosutinib,22RV1,3.913924
37,Bromosporine,22RV1,2.842678
38,Buparlisib,22RV1,0.648494
39,CCT007093,22RV1,5.941977
40,CPI-637,22RV1,4.905957
41,CZC24832,22RV1,4.677051
42,Camptothecin,22RV1,-2.90246
43,Carmustine,22RV1,6.148346
44,Cediranib,22RV1,2.109625
45,Cisplatin,22RV1,3.372862
46,Crizotinib,22RV1,2.502973
47,Cyclophosphamide,22RV1,6.209993
48,Cytarabine,22RV1,4.189364
49,Dabrafenib,22RV1,6.439239
50,Dacarbazine,22RV1,6.889218
51,Dactinomycin,22RV1,-4.840963
52,Dactolisib,22RV1,-2.793766
53,Daporinad,22RV1,-3.112784
