,drug,cell_line,IC50
0,5-Fluorouracil,22RV1,2.319585
1,A-366,22RV1,4.685324
2,ABT737,22RV1,3.98776
3,AGI-5198,22RV1,6.255464
4,AGI-6780,22RV1,4.194722
5,AGK2,22RV1,3.839616
6,AMG-319,22RV1,6.450931
7,AT13148,22RV1,2.529538
8,AZ6102,22RV1,2.9276
9,AZ960,22RV1,3.969719
10,AZD1208,22RV1,5.007299
11,AZD1332,22RV1,3.424256
12,AZD2014,22RV1,-0.554046
13,AZD4547,22RV1,3.618655
14,AZD5153,22RV1,0.758838
15,AZD5363,22RV1,2.654513
16,AZD5438,22RV1,3.426016
17,AZD5582,22RV1,2.402949
18,AZD6738,22RV1,3.384121
19,AZD7762,22RV1,2.042511
20,AZD8055,22RV1,-1.458397
21,AZD8186,22RV1,3.749366
22,Acetalax,22RV1,-0.236071
23,Afatinib,22RV1,2.316328
24,Afuresertib,22RV1,1.553442
25,Alisertib,22RV1,3.292027
26,Alpelisib,22RV1,2.207962
27,Avagacestat,22RV1,5.06275
28,Axitinib,22RV1,4.474203
29,BI-2536,22RV1,-1.501355
30,BIBR-1532,22RV1,6.360602
31,BMS-345541,22RV1,2.47004
32,BMS-536924,22RV1,2.862935
33,BMS-754807,22RV1,2.273743
34,Bleomycin,22RV1,4.031109
35,Bleomycin (50 uM),22RV1,3.97792
36,Bortezomib,22RV1,-4.6224
37,Bosutinib,22RV1,3.913924
38,Bromosporine,22RV1,2.842678
39,Buparlisib,22RV1,0.648494
40,CCT007093,22RV1,5.941977
41,CPI-637,22RV1,4.905957
42,CZC24832,22RV1,4.677051
43,Camptothecin,22RV1,-2.90246
44,Carmustine,22RV1,6.148346
45,Cediranib,22RV1,2.109625
46,Cisplatin,22RV1,3.372862
47,Crizotinib,22RV1,2.502973
48,Cyclophosphamide,22RV1,6.209993
49,Dabrafenib,22RV1,6.439239
50,Dacarbazine,22RV1,6.889218
51,Dactinomycin,22RV1,-4.840963
52,Dactolisib,22RV1,-2.793766
53,Daporinad,22RV1,-3.112784
54,Dasatinib,22RV1,4.203067
55,Dihydrorotenone,22RV1,1.840438
56,Dinaciclib,22RV1,-2.715792
57,Docetaxel,22RV1,-2.839407
58,Doramapimod,22RV1,6.475129
59,EHT-1864,22RV1,4.235458
60,EPZ004777,22RV1,6.336956
61,EPZ5676,22RV1,6.343132
62,Elephantin,22RV1,3.359992
63,Entinostat,22RV1,1.987387
64,Entospletinib,22RV1,5.335641
65,Epirubicin,22RV1,-1.427706
